date,vectorId,value
2025-11,87008752,63123.6
2025-11,87008753,27325.6
2025-11,87008754,8200.0
2025-11,87008755,771.6
2025-11,87008756,2159.9
2025-11,87008757,331.7
2025-11,87008758,1008.7
2025-11,87008759,1154.9
2025-11,87008760,349.8
2025-11,87008761,380.4
2025-11,87008762,7333.0
2025-11,87008763,4500.0
2025-11,87008764,1809.4
2025-11,87008765,1330.5
2025-11,87008766,20.7
2025-11,87008767,1036.3
2025-11,87008768,13.9
2025-11,87008769,79.5
2025-11,87008770,850.1
2025-11,87008771,833.1
2025-11,87008772,205.5
2025-11,87008773,258.4
2025-11,87008774,601.6
2025-11,87008775,728.7
2025-11,87008776,360.3
2025-11,87008777,0.1
2025-11,87008778,290.1
2025-11,87008779,151.5
2025-11,87008780,3.1
2025-11,87008781,64806.6
2025-11,87008782,28003.2
2025-11,87008783,8720.8
2025-11,87008784,794.2
2025-11,87008785,2332.5
2025-11,87008786,377.9
2025-11,87008787,1032.4
2025-11,87008788,1187.5
2025-11,87008789,361.0
2025-11,87008790,397.0
2025-11,87008791,7359.3
2025-11,87008792,4344.6
2025-11,87008793,1906.1
2025-11,87008794,1433.8
2025-11,87008795,22.2
2025-11,87008796,966.5
2025-11,87008797,13.9
2025-11,87008798,79.5
2025-11,87008799,875.4
2025-11,87008800,833.1
2025-11,87008801,205.5
2025-11,87008802,247.6
2025-11,87008803,649.1
2025-11,87008804,728.7
2025-11,87008805,327.9
2025-11,87008806,0.1
2025-11,87008807,278.9
2025-11,87008808,151.5
2025-11,87008809,3.1
2025-11,87008810,64996.7
2025-11,87008811,36417.0
2025-11,87008812,7467.1
2025-11,87008813,688.1
2025-11,87008814,1770.1
2025-11,87008815,767.0
2025-11,87008816,657.2
2025-11,87008817,893.5
2025-11,87008818,738.3
2025-11,87008819,325.1
2025-11,87008820,5265.0
2025-11,87008821,2884.6
2025-11,87008822,1498.0
2025-11,87008823,1211.2
2025-11,87008824,338.1
2025-11,87008825,943.2
2025-11,87008826,13.7
2025-11,87008827,70.1
2025-11,87008828,578.2
2025-11,87008829,847.2
2025-11,87008830,193.9
2025-11,87008831,198.0
2025-11,87008832,302.5
2025-11,87008833,668.2
2025-11,87008834,721.5
2025-11,87008835,0.1
2025-11,87008836,179.5
2025-11,87008837,257.9
2025-11,87008838,0.5
2025-11,87008839,66530.0
2025-11,87008840,37248.6
2025-11,87008841,7609.9
2025-11,87008842,722.5
2025-11,87008843,1860.9
2025-11,87008844,754.6
2025-11,87008845,674.3
2025-11,87008846,910.1
2025-11,87008847,702.9
2025-11,87008848,350.5
2025-11,87008849,5583.2
2025-11,87008850,2701.3
2025-11,87008851,1603.3
2025-11,87008852,1292.4
2025-11,87008853,356.8
2025-11,87008854,832.8
2025-11,87008855,13.7
2025-11,87008856,70.1
2025-11,87008857,627.6
2025-11,87008858,847.2
2025-11,87008859,193.9
2025-11,87008860,198.0
2025-11,87008861,346.1
2025-11,87008862,668.2
2025-11,87008863,722.8
2025-11,87008864,0.1
2025-11,87008865,186.9
2025-11,87008866,257.9
2025-11,87008867,0.5
2025-11,87008868,62678.6
2025-11,87008869,42108.6
2025-11,87008870,4200.8
2025-11,87008871,4646.9
2025-11,87008872,954.6
2025-11,87008873,889.7
2025-11,87008874,473.2
2025-11,87008875,476.3
2025-11,87008876,236.0
2025-11,87008877,255.2
2025-11,87008878,3946.2
2025-11,87008879,774.5
2025-11,87008880,1115.9
2025-11,87008881,549.1
2025-11,87008882,275.4
2025-11,87008883,220.7
2025-11,87008884,262.1
2025-11,87008885,278.7
2025-11,87008886,374.8
2025-11,87008887,102.1
2025-11,87008888,67.2
2025-11,87008889,105.0
2025-11,87008890,176.6
2025-11,87008891,137.2
2025-11,87008892,292.9
2025-11,87008893,6.9
2025-11,87008894,285.4
2025-11,87008895,156.1
2025-11,87008896,2.2
2025-11,87008897,63780.5
2025-11,87008898,43995.2
2025-11,87008899,4018.8
2025-11,87008900,4646.9
2025-11,87008901,954.6
2025-11,87008902,889.7
2025-11,87008903,473.2
2025-11,87008904,383.9
2025-11,87008905,279.9
2025-11,87008906,255.2
2025-11,87008907,3607.7
2025-11,87008908,742.7
2025-11,87008909,1160.5
2025-11,87008910,549.1
2025-11,87008911,275.4
2025-11,87008912,282.8
2025-11,87008913,262.1
2025-11,87008914,278.7
2025-11,87008915,331.6
2025-11,87008916,102.1
2025-11,87008917,67.2
2025-11,87008918,105.0
2025-11,87008919,176.6
2025-11,87008920,137.2
2025-11,87008921,292.9
2025-11,87008922,6.9
2025-11,87008923,285.4
2025-11,87008924,156.1
2025-11,87008925,2.2
2025-11,87008926,63663.3
2025-11,87008927,42501.6
2025-11,87008928,4274.8
2025-11,87008929,4771.1
2025-11,87008930,950.4
2025-11,87008931,911.3
2025-11,87008932,474.7
2025-11,87008933,481.4
2025-11,87008934,285.3
2025-11,87008935,247.1
2025-11,87008936,3986.5
2025-11,87008937,800.2
2025-11,87008938,1124.0
2025-11,87008939,557.6
2025-11,87008940,275.5
2025-11,87008941,219.7
2025-11,87008942,242.3
2025-11,87008943,282.2
2025-11,87008944,383.5
2025-11,87008945,103.2
2025-11,87008946,69.0
2025-11,87008947,106.2
2025-11,87008948,181.0
2025-11,87008949,139.3
2025-11,87008950,295.9
2025-11,87008951,7.1
2025-11,87008952,287.5
2025-11,87008953,154.6
2025-11,87008954,2.2
2025-11,87008955,63945.4
2025-11,87008956,43712.7
2025-11,87008957,4063.9
2025-11,87008958,4771.1
2025-11,87008959,950.4
2025-11,87008960,911.3
2025-11,87008961,474.7
2025-11,87008962,384.6
2025-11,87008963,318.9
2025-11,87008964,247.1
2025-11,87008965,3626.2
2025-11,87008966,770.0
2025-11,87008967,1158.3
2025-11,87008968,557.6
2025-11,87008969,275.5
2025-11,87008970,277.8
2025-11,87008971,242.3
2025-11,87008972,282.2
2025-11,87008973,336.4
2025-11,87008974,103.2
2025-11,87008975,69.0
2025-11,87008976,106.2
2025-11,87008977,181.0
2025-11,87008978,139.3
2025-11,87008979,295.9
2025-11,87008980,7.1
2025-11,87008981,287.5
2025-11,87008982,154.6
2025-11,87008983,2.2
2025-11,87008984,-2584.6
2025-11,87008985,6464.1
2025-11,87008986,-3546.0
2025-11,87008987,4048.6
2025-11,87008988,-910.5
2025-11,87008989,156.6
2025-11,87008990,-199.7
2025-11,87008991,-525.4
2025-11,87008992,-384.0
2025-11,87008993,-103.5
2025-11,87008994,-1957.0
2025-11,87008995,-1931.2
2025-11,87008996,-445.0
2025-11,87008997,-734.8
2025-11,87008998,-81.4
2025-11,87008999,-555.0
2025-11,87009000,228.5
2025-11,87009001,212.2
2025-11,87009002,-291.2
2025-11,87009003,-743.9
2025-11,87009004,-124.9
2025-11,87009005,-91.8
2025-11,87009006,-165.1
2025-11,87009007,-528.9
2025-11,87009008,-426.9
2025-11,87009009,7.0
2025-11,87009010,100.7
2025-11,87009011,-103.3
2025-11,87009012,1.7
